Strain_Name,Genotype,Identifier,Source,PreUV_Quiescence_Fraction,PostUV_Quiescence_Fraction,SKAT_Rank_Percentile
RB2572,Y38F1A.6(ok3580) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00033247#03--10,Caenorhabditis Genetics Center,0.0771920387305003,0.582532051282051,1.17
RB684,tank-1(ok446) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00031422#03--10,Caenorhabditis Genetics Center,0.299227799227799,0.647172619047619,8.7
RB709,snf-7(ok482) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00031444#03--10,Caenorhabditis Genetics Center,0.0511744966442953,0.555338541666667,3.02
RB778,F32E10.7(ok560) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00031491#03--10,Caenorhabditis Genetics Center,0.073620664345579,0.692236733001658,49.51
RB830,epac-1(ok655) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00031543#03--10,Caenorhabditis Genetics Center,0.0586129753914989,0.572916666666667,5.45
RB899,C17G1.7(ok762) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00031611#03--10,Caenorhabditis Genetics Center,0.0702452920518714,0.690812841530055,7.29
RB956,F48E8.7(ok851) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00031667#03--10,Caenorhabditis Genetics Center,0.0520134228187919,0.571571180555555,1.13
RM2221,egl-8(md1971) V. Outcrossed x2,https://wormbase.org/species/c_elegans/strain/WBStrain00033391#03--10,Caenorhabditis Genetics Center,0.0849194832416309,0.855324074074074,0.45
SV1005,bmk-1(ok391) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00034607#03--10,Caenorhabditis Genetics Center,0.026006711409396,0.556987847222222,2.33
UV21,him-19(jf6) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00035461#03--10,Caenorhabditis Genetics Center,0.0556569343065693,0.613888888888889,0.47
UV26,him-19(tm3538) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00035462#03--10,Caenorhabditis Genetics Center,0.0321381600578681,0.612962962962963,0.47
VC1293,F45C12.3(gk583) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00036486#03--10,Caenorhabditis Genetics Center,0.0452290633206887,0.568900966183575,11.33
VC16,haf-2(gk13) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00035486#03--10,Caenorhabditis Genetics Center,0.0656459731543624,0.640559895833333,1.79
VC1715,crn-3(ok2269) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00036816#03--10,Caenorhabditis Genetics Center,0.122302293948888,0.633760683760684,1.28
VC1977,F35D2.4(ok2142) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00037005#03--10,Caenorhabditis Genetics Center,0.0674058943682521,0.576932367149758,13.42
VC1995,T12A2.15(ok2509) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00037019#03--10,Caenorhabditis Genetics Center,0.0884228187919463,0.5971875,12.37
VC2138,kcnl-2(ok2818) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00037105#03--10,Caenorhabditis Genetics Center,0.0477171260890681,0.506272401433692,12.92
