StrainName,Genotype,Identifier,Source
VC2300,F16B12.6(gk1118) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00037238#03--10,Caenorhabditis Genetics Center
VC2309,ZK669.4(ok3001) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00037245#03--10,Caenorhabditis Genetics Center
VC2559,sti-1(ok3354) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00037408#03--10,Caenorhabditis Genetics Center
VC2725,gei-1(gk3062) III; C25A8.5(gk1224) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00037511#03--10,Caenorhabditis Genetics Center
VC3112,C41A3.1(ok3769) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00037677#03--10,Caenorhabditis Genetics Center
VC320,nrfl-1(ok297) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00035676#03--10,Caenorhabditis Genetics Center
VC356,tag-77(gk206) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00035705#03--10,Caenorhabditis Genetics Center
VC364,tbb-1(gk207) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00035711#03--10,Caenorhabditis Genetics Center
VC387,cla-1(ok618) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00035728#03--10,Caenorhabditis Genetics Center
VC475,hsp-16.2(gk249) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00035801#03--10,Caenorhabditis Genetics Center
VC596,cla-1(gk352) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00035905#03--10,Caenorhabditis Genetics Center
VC621,lrp-2(gk292) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00035926#03--10,Caenorhabditis Genetics Center
VC631,cla-1(ok937) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00035934#03--10,Caenorhabditis Genetics Center
VC746,gly-11(gk342) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00036033#03--10,Caenorhabditis Genetics Center
VC876,cpna-2(gk428) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00036140#03--10,Caenorhabditis Genetics Center
VC983,hda-2(ok1479) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00036222#03--10,Caenorhabditis Genetics Center
